,Channel 1,Channel 2,Correlation
243,FC2,FC6,0.39912879516598265
464,P3,O1,0.39665446283440714
479,P4,O2,0.3966544628344071
144,Fz,PO10,0.3964325954289381
140,Fz,PO9,0.3964325954289381
3,Fp1,Fz,0.39472329875795786
33,Fp2,Fz,0.39472329875795775
376,TP9,CP5,0.3944599698921306
430,CP6,TP10,0.39445996989213034
409,CP1,P3,0.3927970651789529
423,CP2,P4,0.39279706517895274
484,P8,O2,0.3907091395026253
456,P7,O1,0.3907091395026252
491,O1,O2,0.3889108660588204
311,C3,CP1,0.3870773075933252
347,C4,CP2,0.38707730759332504
192,F8,O1,0.3867368841092579
88,F7,O2,0.38673688410925783
79,F7,TP10,0.3866259299499014
180,F8,TP9,0.3866259299499014
223,FC1,C3,0.3860458977610175
247,FC2,C4,0.3860458977610174
224,FC1,Cz,0.3853768539383924
246,FC2,Cz,0.3853768539383924
27,Fp1,O1,0.38456496671377477
59,Fp2,O2,0.38456496671377466
370,T8,P8,0.38280936971622403
296,T7,P7,0.38280936971622403
115,F3,Oz,0.38243178354905427
168,F4,Oz,0.3824317835490542
269,FC6,T8,0.3813814689573752
199,FC5,T7,0.38138146895737507
69,F7,T7,0.38088381458894044
179,F8,T8,0.3808838145889404
360,T8,TP9,0.37827612668473937
295,T7,TP10,0.3782761266847393
155,F4,TP9,0.37789493873407204
107,F3,TP10,0.37789493873407204
23,Fp1,Pz,0.3773284769951642
53,Fp2,Pz,0.3773284769951642
308,C3,T8,0.3770960143923236
288,T7,C4,0.37709601439232343
460,P3,Pz,0.37701451118055157
468,Pz,P4,0.37701451118055146
487,PO9,Oz,0.37580143472631966
494,Oz,PO10,0.3758014347263196
286,T7,C3,0.3742918068679685
343,C4,T8,0.37429180686796826
271,FC6,CP5,0.3726392520800496
208,FC5,CP6,0.3726392520800496
51,Fp2,P7,0.3701120729555032
25,Fp1,P8,0.37011207295550314
366,T8,P7,0.36643915527425736
300,T7,P8,0.3664391552742573
472,Pz,Oz,0.3635875703443717
218,FC5,O2,0.36325225513566817
282,FC6,O1,0.36325225513566817
379,TP9,CP6,0.3601190027539685
394,CP5,TP10,0.36011900275396846
330,Cz,CP2,0.35992074447657657
329,Cz,CP1,0.35992074447657657
249,FC2,TP9,0.35971666716283784
232,FC1,TP10,0.3597166671628377
111,F3,P4,0.35970295464274443
162,F4,P3,0.35970295464274443
410,CP1,Pz,0.3567665245986972
422,CP2,Pz,0.35676652459869695
277,FC6,P3,0.355171372108079
213,FC5,P4,0.355171372108079
319,C3,P8,0.35472877335616443
350,C4,P7,0.3547287733561644
6,Fp1,FC5,0.35352110634438666
39,Fp2,FC6,0.3535211063443866
261,FC2,O1,0.3499493350840975
241,FC1,O2,0.3499493350840974
265,FC6,T7,0.3495109962557456
203,FC5,T8,0.34951099625574555
463,P3,PO9,0.3462019564260782
480,P4,PO10,0.34620195642607793
471,Pz,O1,0.3430885120841357
473,Pz,O2,0.3430885120841357
393,CP5,CP6,0.3411909380607334
98,F3,C3,0.33690748470803994
153,F4,C4,0.3369074847080399
324,C3,PO10,0.33685294595414145
355,C4,PO9,0.3368529459541414
255,FC2,P7,0.33667928078202103
237,FC1,P8,0.336679280782021
391,CP5,CP1,0.33663870161688164
418,CP2,CP6,0.3366387016168815
73,F7,T8,0.33651243330903313
175,F8,T7,0.33651243330903313
70,F7,C3,0.323411571507305
178,F8,C4,0.323411571507305
220,FC1,FC2,0.3212986386722024
478,P4,Oz,0.31506520524213333
465,P3,Oz,0.31506520524213333
345,C4,CP5,0.30901744614587673
313,C3,CP6,0.30901744614587673
274,FC6,CP6,0.30868578013921827
205,FC5,CP5,0.30868578013921827
262,FC2,Oz,0.3083378362173868
240,FC1,Oz,0.3083378362173868
66,F7,FC1,0.30622590137169386
173,F8,FC2,0.30622590137169375
7,Fp1,FC1,0.30250560682701255
38,Fp2,FC2,0.3025056068270125
156,F4,CP5,0.2994145988239182
106,F3,CP6,0.29941459882391813
367,T8,P3,0.2989107997300689
299,T7,P4,0.2989107997300689
440,CP6,PO10,0.2968589900488019
400,CP5,PO9,0.2968589900488019
87,F7,Oz,0.2963121469076607
193,F8,Oz,0.2963121469076606
114,F3,O1,0.2934543876023254
169,F4,O2,0.2934543876023254
382,TP9,P3,0.2920374555437103
444,TP10,P4,0.29203745554371024
316,C3,P3,0.29003637311700414
353,C4,P4,0.2900363731170041
126,Fz,Cz,0.289617481459086
123,Fz,FC6,0.28545733871492535
120,Fz,FC5,0.2854573387149252
449,TP10,O2,0.2814096453818461
387,TP9,O1,0.2814096453818461
399,CP5,P8,0.28108793631749535
431,CP6,P7,0.28108793631749524
182,F8,CP1,0.2753176068535923
77,F7,CP2,0.2753176068535922
483,P8,Oz,0.27461127388242434
457,P7,Oz,0.27461127388242434
306,C3,Cz,0.27313543321270584
325,Cz,C4,0.27313543321270584
26,Fp1,PO9,0.2717479209727093
60,Fp2,PO10,0.27174792097270917
488,PO9,O2,0.2708371382810892
492,O1,PO10,0.27083713828108913
4,Fp1,F4,0.2697819587694695
32,Fp2,F3,0.2697819587694695
378,TP9,CP2,0.26955750663908035
407,CP1,TP10,0.26955750663908035
405,CP1,CP2,0.26932111331070396
139,Fz,P8,0.26926088206897275
135,Fz,P7,0.2692608820689727
283,FC6,Oz,0.26846578733043164
217,FC5,Oz,0.2684657873304315
252,FC2,CP2,0.2666842443924639
229,FC1,CP1,0.2666842443924639
297,T7,P3,0.26571229636589927
369,T8,P4,0.26571229636589927
176,F8,C3,0.26304352938766223
72,F7,C4,0.26304352938766207
45,Fp2,TP9,0.25901416441548647
20,Fp1,TP10,0.2590141644154864
46,Fp2,CP5,0.25597091988386705
19,Fp1,CP6,0.25597091988386694
188,F8,Pz,0.25493843081778056
82,F7,Pz,0.2549384308177805
301,T7,PO9,0.25160861160375997
375,T8,PO10,0.25160861160375997
75,F7,CP5,0.25101108734910166
184,F8,CP6,0.2510110873491016
62,F7,Fz,0.2502125772655097
119,Fz,F8,0.2502125772655097
315,C3,P7,0.2500522597449654
354,C4,P8,0.2500522597449653
97,F3,T7,0.2461631026215899
154,F4,T8,0.2461631026215897
22,Fp1,P3,0.24607213917368023
54,Fp2,P4,0.24607213917368018
401,CP5,O1,0.24575524974699278
439,CP6,O2,0.24575524974699278
305,T7,PO10,0.2454172343891687
371,T8,PO9,0.2454172343891687
150,F4,T7,0.24426865723688473
101,F3,T8,0.24426865723688473
263,FC2,O2,0.23973268557995353
239,FC1,O1,0.23973268557995353
380,TP9,TP10,0.2368094601422555
293,T7,CP2,0.23671423426118074
362,T8,CP1,0.23671423426118066
264,FC2,PO10,0.2332127661902863
238,FC1,PO9,0.2332127661902863
342,Cz,PO10,0.2323626323242448
338,Cz,PO9,0.2323626323242448
424,CP2,P8,0.23112297015698371
408,CP1,P7,0.23112297015698371
137,Fz,Pz,0.22987739217960437
18,Fp1,CP2,0.22866384802045095
47,Fp2,CP1,0.22866384802045087
138,Fz,P4,0.2273133115109787
136,Fz,P3,0.2273133115109787
163,F4,Pz,0.22724641067276583
110,F3,Pz,0.22724641067276583
74,F7,TP9,0.2235476883969084
185,F8,TP10,0.22354768839690833
385,TP9,P8,0.22315181684785232
441,TP10,P7,0.22315181684785226
134,Fz,TP10,0.21775389963901595
129,Fz,TP9,0.21775389963901592
147,F4,FC1,0.21484912781863835
95,F3,FC2,0.21484912781863835
309,C3,TP9,0.2130183262134921
349,C4,TP10,0.213018326213492
113,F3,PO9,0.2116678738665099
170,F4,PO10,0.21166787386650984
152,F4,Cz,0.20818172991907252
99,F3,Cz,0.2081817299190725
384,TP9,P4,0.2041766774145423
442,TP10,P3,0.2041766774145422
356,C4,O1,0.20332201542926226
323,C3,O2,0.20332201542926226
466,P3,O2,0.20222597462353537
477,P4,O1,0.20222597462353534
256,FC2,P3,0.20021654711840414
236,FC1,P4,0.2002165471184041
244,FC2,T7,0.19801267140808987
226,FC1,T8,0.19801267140808987
452,P7,Pz,0.19762621146139014
469,Pz,P8,0.19762621146139014
91,F3,F4,0.19687626793069934
266,FC6,C3,0.19672216239995816
202,FC5,C4,0.19672216239995813
204,FC5,TP9,0.19176080011810184
275,FC6,TP10,0.19176080011810182
489,PO9,PO10,0.1914395673174429
327,Cz,TP9,0.1910762984785583
332,Cz,TP10,0.19107629847855828
335,Cz,Pz,0.1888447745870614
470,Pz,PO9,0.1875727832686562
474,Pz,PO10,0.1875727832686562
273,FC6,CP2,0.18669440605107776
206,FC5,CP1,0.18669440605107773
318,C3,P4,0.18656844059773056
351,C4,P3,0.18656844059773048
8,Fp1,FC2,0.18644775487587997
37,Fp2,FC1,0.18644775487587992
292,T7,CP1,0.18575323643875116
363,T8,CP2,0.18575323643875113
250,FC2,CP5,0.1828231100546872
231,FC1,CP6,0.18282311005468718
194,F8,O2,0.17576174328436414
86,F7,O1,0.17576174328436414
404,CP5,PO10,0.175229046206937
436,CP6,PO9,0.17522904620693694
414,CP1,O1,0.1729938264365712
428,CP2,O2,0.17299382643657116
5,Fp1,F8,0.17176224661249184
31,Fp2,F7,0.17176224661249181
248,FC2,T8,0.170873573826957
222,FC1,T7,0.170873573826957
125,Fz,C3,0.1681039192775539
127,Fz,C4,0.1681039192775539
228,FC1,CP5,0.1680004623973063
253,FC2,CP6,0.16800046239730626
267,FC6,Cz,0.16791804837286195
201,FC5,Cz,0.1679180483728619
21,Fp1,P7,0.16301745876758542
55,Fp2,P8,0.16301745876758542
304,T7,O2,0.1602587942922044
372,T8,O1,0.16025879429220438
397,CP5,Pz,0.15923578969512103
433,CP6,Pz,0.15923578969512098
307,C3,C4,0.15887136787734096
159,F4,CP6,0.15549431908495212
103,F3,CP5,0.15549431908495212
388,TP9,Oz,0.1547132216973707
448,TP10,Oz,0.15471322169737065
272,FC6,CP1,0.15373715792029108
207,FC5,CP2,0.15373715792029108
11,Fp1,C3,0.14967807892926183
43,Fp2,C4,0.14967807892926172
216,FC5,O1,0.14677384310263156
284,FC6,O2,0.14677384310263156
398,CP5,P4,0.1463320371433352
432,CP6,P3,0.14633203714333518
454,P7,P8,0.14442372421286875
212,FC5,Pz,0.14398447424822383
278,FC6,Pz,0.1439844742482238
10,Fp1,T7,0.1425616608607427
44,Fp2,T8,0.14256166086074268
417,CP1,PO10,0.14044102999409686
425,CP2,PO9,0.1404410299940968
458,P7,O2,0.1365823191702459
482,P8,O1,0.13658231917024588
340,Cz,Oz,0.13580748694215242
280,FC6,P8,0.13139531419094497
210,FC5,P7,0.13139531419094497
341,Cz,O2,0.13098032994227574
339,Cz,O1,0.13098032994227574
171,F8,FC5,0.1286001804991493
68,F7,FC6,0.12860018049914926
14,Fp1,T8,0.12790775957037132
40,Fp2,T7,0.1279077595703713
374,T8,O2,0.12713273877502626
302,T7,O1,0.12713273877502626
9,Fp1,FC6,0.12425977428619875
36,Fp2,FC5,0.1242597742861987
157,F4,CP1,0.12390654758010822
105,F3,CP2,0.1239065475801082
420,CP2,P7,0.1191371155122741
412,CP1,P8,0.1191371155122741
198,FC5,FC6,0.11656033665040896
415,CP1,Oz,0.11089295046729626
427,CP2,Oz,0.11089295046729623
80,F7,P7,0.11009582348049148
190,F8,P8,0.11009582348049146
402,CP5,Oz,0.1093277750802172
438,CP6,Oz,0.10932777508021717
461,P3,P4,0.10846925493840234
411,CP1,P4,0.10738717307596116
421,CP2,P3,0.10738717307596114
17,Fp1,CP1,0.10736379598710963
48,Fp2,CP2,0.1073637959871096
104,F3,CP1,0.10498659687064478
158,F4,CP2,0.10498659687064477
336,Cz,P4,0.09689686261351073
334,Cz,P3,0.09689686261351066
317,C3,Pz,0.09567116565481217
352,C4,Pz,0.09567116565481211
64,F7,F8,0.09480168575471858
337,Cz,P8,0.09332659411538921
333,Cz,P7,0.09332659411538918
377,TP9,CP1,0.09228525802941746
419,CP2,TP10,0.09228525802941745
322,C3,Oz,0.09181488891863798
357,C4,Oz,0.09181488891863795
413,CP1,PO9,0.08644104442066024
429,CP2,PO10,0.08644104442066022
251,FC2,CP1,0.08388482391632622
230,FC1,CP2,0.08388482391632618
221,FC1,FC6,0.08334962846276255
197,FC5,FC2,0.08334962846276253
279,FC6,P4,0.08305673224956196
211,FC5,P3,0.08305673224956195
100,F3,C4,0.0814107332289615
151,F4,C3,0.08141073322896147
392,CP5,CP2,0.07986086755638624
406,CP1,CP6,0.07986086755638624
133,Fz,CP6,0.07723000450512256
130,Fz,CP5,0.07723000450512256
331,Cz,CP6,0.07312156113541152
328,Cz,CP5,0.07312156113541149
41,Fp2,C3,0.07311119973966808
13,Fp1,C4,0.07311119973966802
164,F4,P4,0.06860366389121941
109,F3,P3,0.0686036638912194
462,P3,P8,0.05970610985964974
453,P7,P4,0.05970610985964973
245,FC2,C3,0.058774938768518796
225,FC1,C4,0.05877493876851879
359,C4,PO10,0.055600880291201284
320,C3,PO9,0.05560088029120122
12,Fp1,Cz,0.05548958859802242
42,Fp2,Cz,0.0554895885980224
227,FC1,TP9,0.051273236935756965
254,FC2,TP10,0.051273236935756944
235,FC1,Pz,0.0499123981790059
257,FC2,Pz,0.04991239817900586
215,FC5,PO9,0.04980757232129241
285,FC6,PO10,0.049807572321292404
390,TP9,PO10,0.048559688507149014
446,TP10,PO9,0.04855968850714899
233,FC1,P7,0.04723471198670463
259,FC2,P8,0.04723471198670463
183,F8,CP2,0.047046359638004936
76,F7,CP1,0.047046359638004936
165,F4,P8,0.04235466161092201
108,F3,P7,0.042354661610921995
146,F4,FC5,0.03613641581228738
96,F3,FC6,0.03613641581228738
416,CP1,O2,0.03562926130822992
426,CP2,O1,0.03562926130822991
85,F7,PO9,0.035557715314953386
195,F8,PO10,0.03555771531495337
403,CP5,O2,0.033527233877087205
437,CP6,O1,0.033527233877087205
368,T8,Pz,0.03276620250942579
298,T7,Pz,0.03276620250942577
102,F3,TP9,0.032383635078395166
160,F4,TP10,0.03238363507839516
50,Fp2,TP10,0.030651947959365634
15,Fp1,TP9,0.030651947959365614
71,F7,Cz,0.0306213900210776
177,F8,Cz,0.030621390021077596
321,C3,O1,0.02921935988388107
358,C4,O2,0.029219359883881052
132,Fz,CP2,0.028837085172700342
131,Fz,CP1,0.02883708517270033
258,FC2,P4,0.027738987593141338
234,FC1,P3,0.02773898759314132
476,P4,PO9,0.027653971363410922
467,P3,PO10,0.027653971363410898
326,Cz,T8,0.026694782593778128
287,T7,Cz,0.026694782593778124
92,F3,F8,0.025551508330167783
63,F7,F4,0.025551508330167783
373,T8,Oz,0.02029768383117284
303,T7,Oz,0.02029768383117283
447,TP10,O1,0.019520635130641558
389,TP9,O2,0.019520635130641555
383,TP9,Pz,0.017855019423915038
443,TP10,Pz,0.017855019423915035
312,C3,CP2,0.01390980501711902
346,C4,CP1,0.013909805017119019
481,P8,PO9,0.012162619492309202
459,P7,PO10,0.012162619492309191
128,Fz,T8,0.010632928541398998
124,Fz,T7,0.010632928541398978
16,Fp1,CP5,0.00954826755194724
49,Fp2,CP6,0.00954826755194723
67,F7,FC2,0.007620789098798325
172,F8,FC1,0.007620789098798319
189,F8,P4,0.004157195928267573
81,F7,P3,0.004157195928267568
